ID,Título del video,Longitud título,Vistas,Tiempo de reproducción (horas),Suscriptores,Duración Promedio (Seg),Impresiones,Categoría,Descripción,Longitud descripción,Descripción sentimiento positivo,Descripción sentimiento objetivo,Duración (segundos),Tipo de duración,Título con emojis,Cantidad de emojis en el título,Descripción con emojis,Cantidad de emojis en las descripción,Título con hashtags,Cantidad de hashtags en el título,Descripción con hashtags,Cantidad de hashtags en la descripción,Color dominante del thumbnail,R,G,B,Temperatura,Grupo de color familiar,Hora de publicación (cadena),Hora de publicación,Grupo Horario,Fecha de publicación,Mes de publicación,Cuartiles (Mes),Fecha antes del proximo video,Suscriptores (entre fechas),Celebración cercana,Celebración cercana (agrupado),Países de celebración cercana,Relación con festividad
nvWDAXOJRlE,Olympics Quiz | Facts Quiz,26,6961,91.856,30,47,268415,Deportes y Juegos,"Hey Kids! Ready for an Olympic adventure? Welcome to our Olympics Quiz!  In this video, we explore the thrilling world of the Olympic Games! 🏅🏊‍♂️🤸‍♀️ Test your knowledge with 15 exciting questions, each with 5 seconds to answer. It's perfect for kids aged 7 and up or anyone interested in learning about the Olympics!  The Olympic Games are a global sporting event that brings together athletes from all over the world to compete in various sports. Held every four years, the Olympics celebrate excellence, friendship, and respect. From ancient Greece to the modern era, the Olympic Games have a rich history and are a symbol of unity and athletic achievement.  🚀 Quiz Levels: Share with your friends which level you achieved!  🎽 Olympic Aspirant (0-3 correct answers) 🥉 Bronze Medalist (4-7 correct answers) 🥈 Silver Medalist (8-11 correct answers) 🥇 Olympic Champion (12-15 correct answers)  Don't forget to subscribe and hit the bell icon to join our community and never miss an adventure! 🚀  #quizgames #olympicsquiz #quizforkids #olympicgames #kidslearningvideos #funfacts",1078,0.064606742,0.894662921,200,Promedio,[],1,"['🏅', '🏊', '♂', '🤸', '♀', '🚀', '🎽', '🥉', '🥈', '🥇', '🚀']",11,[],1,"['#quizgames', '#olympicsquiz', '#quizforkids', '#olympicgames', '#kidslearningvideos', '#funfacts']",6,"(53, 186, 216)",53,186,216,Frío,Indefinido,09:00:43,1/1/1900 9:00:43 AM,Mañana,21/6/2024,6,Q2,26/6/2024,2,Summer Olympics Opening Ceremony,Summer Olympics,US,True
8EWRh-nRfxg,Harry Potter EXPERTS Only! Tricky Questions Ahead!,50,3246,119.6582,13,132,66361,"Películas, Series y Fantasía","Think you're a Harry Potter expert? Test your knowledge with these tricky questions in this quiz! Only true fans will ace this Harry Potter quiz!  Welcome to the Ultimate Harry Potter Quiz! 🧙‍♂️⚡ Test your knowledge of the wizarding world and see if you're a true Potterhead! From Hogwarts houses to magical creatures, spells, and more—this quiz covers it all. Whether you're a die-hard fan or just love the series, this quiz is sure to challenge your memory and make you feel the magic.  ✨ Quiz Levels:  ⚡First Year (Easy): Basic trivia for casual fans—perfect for warming up!  🦉OWLs (Intermediate): Step it up with questions that only a dedicated fan can answer.  🧙‍♂️N.E.W.T.s (Advanced): The final challenge—questions that will test even the most devoted wizards and witches!  Grab your wands, gather your friends, and let's see who knows Harry Potter the best! Don't forget to comment your score below and share with fellow witches and wizards!  🔔 Subscribe for more magical content and quizzes:",1000,0.080357143,0.863095238,321,Largo,[],1,"['🧙', '♂', '⚡', '✨', '⚡', '🦉', '🧙', '♂', '🔔']",9,[],1,[],1,"(32, 27, 41)",32,27,41,Cálido,Negro,16:02:16,1/1/1900 4:02:16 PM,Tarde,12/9/2024,9,Q3,19/9/2024,5,National Day,National Day,MX,False
G6gSSwpW0XA,The Most Difficult Flag Quiz Ever (Can You Get Them All?),57,2252,27.7175,12,44,32280,Trivia y Cuestionarios Generales,"Are you ready to put your knowledge of world flags to the ultimate test? Join us in ""The Most Difficult Flag Quiz Ever!"" This challenging quiz will push your flag recognition skills to the limit. From obscure countries to unique designs, can you identify them all?   In this video, we'll present you with a series of tricky flag images that may stump even the most seasoned geography buffs. Whether you’re a flag enthusiast or just looking for a fun challenge, this quiz is perfect for you!   🔴 What to Expect: - 20 mind-boggling flags from around the globe - A countdown timer to add to the pressure - Fun facts about each flag and its country after each question  📊 Track your score and let us know how you did in the comments! Don’t forget to share this quiz with your friends and see who can get the highest score.   🌍 Test your knowledge, learn something new, and challenge yourself—because this quiz is not for the faint-hearted!   Hit that play button and let's see if you can get them all right!   #FlagQuiz #GeographyChallenge #Trivia #WorldFlags #QuizTime",1065,0.071839080,0.870689655,264,Promedio,[],1,"['🔴', '📊', '🌍']",3,[],1,"['#FlagQuiz', '#GeographyChallenge', '#Trivia', '#WorldFlags', '#QuizTime']",5,"(200, 31, 34)",200,31,34,Cálido,Rojo,08:05:42,1/1/1900 8:05:42 AM,Mañana,27/9/2024,9,Q3,2/10/2024,7,National Day,National Day,"CN,SG,HK",False
KO-I3woc1zA,Harry Potter | Facts Quiz,25,1516,44.2447,12,105,32272,"Películas, Series y Fantasía","The Ultimate Harry Potter Quiz: How Well Do You Know the Wizarding World? 🧙‍♂️⚡  Welcome to the Ultimate Harry Potter Quiz! 🧙‍♂️⚡ Test your knowledge of the wizarding world and see if you're a true Potterhead! From Hogwarts houses to magical creatures, spells, and more—this quiz covers it all. Whether you're a die-hard fan or just love the series, this quiz is sure to challenge your memory and make you feel the magic.  ✨ Quiz Levels:  ⚡First Year (Easy): Basic trivia for casual fans—perfect for warming up!  🦉OWLs (Intermediate): Step it up with questions that only a dedicated fan can answer.  🧙‍♂️N.E.W.T.s (Advanced): The final challenge—questions that will test even the most devoted wizards and witches!  Grab your wands, gather your friends, and let's see who knows Harry Potter the best! Don't forget to comment your score below and share with fellow witches and wizards!  🔔 Subscribe for more magical content and quizzes: UC30vRBFka6oZMaZ7Gyu3rRA  #HarryPotterQuiz #Potterhead #Hogwarts",999,0.087171053,0.865131579,265,Largo,[],1,"['🧙', '♂', '⚡', '🧙', '♂', '⚡', '✨', '⚡', '🦉', '🧙', '♂', '🔔']",12,[],1,"['#HarryPotterQuiz', '#Potterhead', '#Hogwarts']",3,"(203, 135, 87)",203,135,87,Cálido,Naranja,13:28:25,1/1/1900 1:28:25 PM,Tarde,15/8/2024,8,Q3,15/8/2024,0,Independence Day,Independence Day,IN,False
oTU_xrW4AXI,Would You Rather... Hardest Choices Edition,43,639,25.6145,1,144,16064,Trivia y Cuestionarios Generales,"Get ready to put your decision-making skills to the ultimate test with our ""Would You Rather... Hardest Choices Edition"" video!   In this thrilling and entertaining experience, we present you with some of the toughest dilemmas that will leave you questioning your preferences. From hilarious scenarios to mind-bending choices, each ""Would You Rather"" question is designed to challenge your thinking and spark interesting conversations.  Join us as we explore various categories, including funny, serious, and downright outrageous options. Will you choose the option that seems easy, or will you take the risk and go for the unexpected? This video is perfect for playing with friends or simply testing yourself.   Don't forget to comment below with your choices and let us know how you fared! Make sure to like, share, and subscribe for more engaging content that will keep you entertained and on your toes.   Tune in now and see if you can handle the pressure of the hardest Would You Rather choices!   #WouldYouRather #HardChoices #ChallengeYourself #FunGames #Entertainment #DecisionMaking",1091,0.092592593,0.794753086,462,Largo,[],1,[],1,[],1,"['#WouldYouRather', '#HardChoices', '#ChallengeYourself', '#FunGames', '#Entertainment', '#DecisionMaking']",6,"(175, 152, 122)",175,152,122,Cálido,Blanco,18:10:13,1/1/1900 6:10:13 PM,Tarde,6/9/2024,9,Q3,11/9/2024,1,Labor Day,Labor Day,"US,CA,AU",False
LeVzouFBmzU,Would you rather… Olympics,26,597,3.9218,1,23,550,Deportes y Juegos,"Go for gold with our Olympic ""Would You Rather"" challenge! 🥇 Which would you choose: a thrilling sprint finish OR a nail-biting gymnastics routine? Let us know in the comments! 🏅 #wouldyourather #olympics #sports #challenge #choose #trackandfield #gymnastics  #wouldyourather  #Shorts #FunChallengeyourather #wouldyourather #wouldyourathergame #quiz #trivia #choose #red #blue #challenge #toughchoices #choices #funchallenge",424,0.111607143,0.803571429,53,Promedio,[],1,"['🥇', '🏅']",2,[],1,"['#wouldyourather', '#olympics', '#sports', '#challenge', '#choose', '#trackandfield', '#gymnastics', '#wouldyourather', '#Shorts', '#FunChallengeyourather', '#wouldyourather', '#wouldyourathergame', '#quiz', '#trivia', '#choose', '#red', '#blue', '#challenge', '#toughchoices', '#choices', '#funchallenge']",21,"(36, 26, 33)",36,26,33,Cálido,Negro,06:23:42,1/1/1900 6:23:42 AM,Mañana,3/8/2024,8,Q3,3/8/2024,2,Summer Olympics Opening Ceremony,Summer Olympics,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",True
9o2NvXVnNXk,Would You Rather ... 5 Tough Choices! 🤯 #shorts #wouldyourather,63,560,3.1657,3,20,289,Trivia y Cuestionarios Generales,🔥 Ready to make the hardest choices ever? 🤔 Comment below and tell us your answers! 💬 Let’s see what the majority thinks! 👇 #WouldYouRather #HardChoices #PhysicalChallenges #EngageAndDecide,189,0.038461538,0.884615385,41,Corto,['🤯'],1,"['🔥', '🤔', '💬', '👇']",4,"['#shorts', '#wouldyourather']",2,"['#WouldYouRather', '#HardChoices', '#PhysicalChallenges', '#EngageAndDecide']",4,"(44, 41, 48)",44,41,48,Cálido,Negro,10:00:09,1/1/1900 10:00:09 AM,Mañana,12/9/2024,9,Q3,11/9/2024,0,National Day,National Day,MX,False
Bt62oT9YD5o,Halloween SPECIAL EDITION Choose one button: Yes ✅ or No 🚫,58,559,11.9006,5,76,11458,Festividades y Eventos,"Test your courage and choose one button: Yes ✅ or No 🚫  Get ready for a spine-tingling challenge this Halloween season!  Take our spooky quiz and test your bravery as we delve into the world of ghosts, ghouls, and supernatural entities. From creepy crawlies to haunted houses, we'll put your knowledge of horror movies, Halloween folklore, and paranormal activity to the test. So, are you brave enough to take on the challenge and uncover the secrets of the unknown?  Let us know how you found this quiz in the comments.  #halloween #wouldyourather #hardchoices #quiz #quiztime #yesornoquiz",590,0.0775,0.845,324,Largo,"['✅', '🚫']",2,"['✅', '🚫']",2,[],1,"['#halloween', '#wouldyourather', '#hardchoices', '#quiz', '#quiztime', '#yesornoquiz']",6,"(150, 133, 167)",150,133,167,Cálido,Blanco,18:35:37,1/1/1900 6:35:37 PM,Tarde,31/10/2024,10,Q4,5/11/2024,9,Halloween,Halloween,"US,GB,AU,CA,MX,PH",True
HINQqOrQfyU,Birds Quiz,10,501,2.8208,0,20,235,Trivia y Cuestionarios Generales,Preview to our Birds Quiz,25,0.041666667,0.875,43,Corto,[],1,[],1,[],1,[],1,"(45, 55, 68)",45,55,68,Frío,Negro,02:00:09,1/1/1900 2:00:09 AM,Madrugada,21/9/2024,9,Q3,26/9/2024,1,National Day,National Day,MX,False
UrQgZlRx5XE,Would you rather... Olympics 2024 Moments #olympicgames #wouldyourather,71,472,2.3085,0,17,611,Deportes y Juegos,"Take a pick in our Olympics ""Would You Rather"" challenge! 🥇 Let us know in the comments and share any moments we may have missed! 🏅   #wouldyourather  #Shorts #FunChallengeyourather #wouldyourather #wouldyourathergame #quiz #trivia #choose #red #blue #challenge #toughchoices #choices #funchallenge",298,0.095238095,0.833333333,58,Promedio,[],1,"['🥇', '🏅']",2,"['#olympicgames', '#wouldyourather']",2,"['#wouldyourather', '#Shorts', '#FunChallengeyourather', '#wouldyourather', '#wouldyourathergame', '#quiz', '#trivia', '#choose', '#red', '#blue', '#challenge', '#toughchoices', '#choices', '#funchallenge']",14,"(27, 18, 27)",27,18,27,Cálido,Negro,16:25:20,1/1/1900 4:25:20 PM,Tarde,4/8/2024,8,Q3,6/8/2024,0,Summer Olympics Closing Ceremony,Summer Olympics,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",True
9gmTfQtWPJM,Would You Rather...? 🚀 Space Edition! #Shorts,45,469,3.0233,4,23,487,Ciencia y Espacio,"Blast off with our space-themed ""Would You Rather"" challenge! 🌌✨ In this quick and exciting short, we present a cosmic ""Would You Rather"" question that will launch your imagination into orbit.  Today's Space Question: Would you rather be an alien OR see an alien? 🌠🪐  Drop your answer in the comments below and let us know which out-of-this-world adventure you'd choose! Don't forget to like and subscribe for more stellar challenges and fun content.  #wouldyourather  #SpaceEdition #Shorts #FunChallengeyourather #wouldyourather #wouldyourathergame #quiz #trivia #choose #red #blue #challenge #toughchoices #choices #funchallenge",630,0.122093023,0.781976744,53,Promedio,['🚀'],1,"['🌌', '✨', '🌠', '🪐']",4,['#Shorts'],1,"['#wouldyourather', '#SpaceEdition', '#Shorts', '#FunChallengeyourather', '#wouldyourather', '#wouldyourathergame', '#quiz', '#trivia', '#choose', '#red', '#blue', '#challenge', '#toughchoices', '#choices', '#funchallenge']",15,"(40, 20, 44)",40,20,44,Cálido,Negro,19:00:04,1/1/1900 7:00:04 PM,Noche,21/7/2024,7,Q3,25/7/2024,5,Summer Olympics Opening Ceremony,Summer Olympics,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",False
wic0IkHb6VE,Euros quiz,10,460,2.6591,2,20,471,Deportes y Juegos,The UEFA European Football Championship is almost over. How much do you know about the Euros?   #euros #copa #europeanchampionship #football #quiz #uefa,152,0.0875,0.875,42,Corto,[],1,[],1,[],1,"['#euros', '#copa', '#europeanchampionship', '#football', '#quiz', '#uefa']",6,"(22, 63, 32)",22,63,32,Frío,Negro,18:29:01,1/1/1900 6:29:01 PM,Tarde,6/7/2024,7,Q3,8/7/2024,10,Euro Cup Final,Euro Cup,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",True
qve0bhKccpo,Euros Quiz  #2,14,446,2.0956,2,16,457,Deportes y Juegos,The UEFA European Football Championship is almost over. How much do you know about the Euros?   #euros #copa #europeanchampionship #football #quiz #uefa,152,0.0875,0.875,41,Corto,[],1,[],1,['#2'],1,"['#euros', '#copa', '#europeanchampionship', '#football', '#quiz', '#uefa']",6,"(25, 31, 69)",25,31,69,Frío,Negro,05:45:02,1/1/1900 5:45:02 AM,Madrugada,9/7/2024,7,Q3,9/7/2024,5,Euro Cup Final,Euro Cup,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",True
wV0mpy-nLUU,Euros 2024  - Spain vs France Semi-final,40,423,1.8886,1,16,537,Deportes y Juegos,Euros 2024  - Spain vs France Semi-final.,41,0,1,49,Corto,[],1,[],1,[],1,[],1,"(65, 54, 17)",65,54,17,Cálido,Negro,20:26:16,1/1/1900 8:26:16 PM,Noche,10/7/2024,7,Q3,9/7/2024,0,Euro Cup Final,Euro Cup,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",True
yN1uoxZQVaU,Would You Rather ..? | Fantasy Vacation 🧙✨💭 | The Quiz Challenge,64,394,12.038,0,109,10523,Trivia y Cuestionarios Generales,"Fantasy Fanatics, Assemble! This summer, ditch the beach and dive into a world of magic with our epic Would You Rather: Fantasy Edition!  Can you handle these mythical dilemmas? We'll throw down two fantastical choices, and you'll have to pick just one. Be warned - it's tougher than battling a dragon!  Get ready to unleash your imagination and explore uncharted territories. Whether you're a sword-wielding warrior or a in a different dimension, there's a question for every adventurer.  Ready to embark on this epic quest? Let's go!  Let us know in the comments which fantasy world is your favourite.  #WouldYouRather #FantasyEdition #Magic #Adventure #QuizTime  Check out these amazing notebooks and create your own fantasy story:  https://www.amazon.com/s?i=stripbooks...",776,0.044354839,0.848790323,408,Largo,"['🧙', '✨', '💭']",3,[],1,[],1,"['#WouldYouRather', '#FantasyEdition', '#Magic', '#Adventure', '#QuizTime']",5,"(180, 69, 152)",180,69,152,Cálido,Púrpura,23:00:35,1/1/1900 11:00:35 PM,Noche,7/8/2024,8,Q3,10/8/2024,2,Summer Olympics Closing Ceremony,Summer Olympics,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",False
jMFoaRWq69Q,Would You Rather ..? | Disney Parks   🏰 🎢  🧚 | The Quiz Challenge,65,278,6.1208,1,79,5373,Trivia y Cuestionarios Generales,"Welcome to our ultimate Disney Parks Would You Rather quiz! 🌟🎢   Dive into magical dilemmas and choose between your favorite Disney adventures, attractions, and characters.   Will you pick a thrilling ride over a magical parade or a classic attraction over a new experience?   Test your Disney knowledge and share your choices in the comments!   Don’t forget to like, subscribe, and hit the bell for more enchanting content.   Let the Disney magic begin! ✨🎉  #WouldYouRather #Disney #DisneyWorld  #Disneyland #DisneyParks #MagicKingdom #QuizTime  Check out these amazing notebooks from our sponsor DRDigitalDreams:   https://www.amazon.com/s?i=stripbooks&rh=p_27%3ADR+Digital+Dreams&s=relevancerank&language=es&text=DR+Digital+Dreams&ref=dp_byline_sr_book_1",757,0.069148936,0.890957447,399,Largo,"['🏰', '🎢', '🧚']",3,"['🌟', '🎢', '✨', '🎉']",4,[],1,"['#WouldYouRather', '#Disney', '#DisneyWorld', '#Disneyland', '#DisneyParks', '#MagicKingdom', '#QuizTime']",7,"(195, 189, 228)",195,189,228,Cálido,Blanco,21:06:29,1/1/1900 9:06:29 PM,Noche,22/8/2024,8,Q3,5/9/2024,10,Independence Day,Independence Day,IN,False
dX356EC2A5c,Inside Out 2 | Quiz #quizforkids #funquiz #insideout2,53,270,1.4671,0,19,447,"Películas, Series y Fantasía",Uh oh! Inside Out 2 - when Riley enters puberty and is experiencing brand new emotions. How much do you know about the film?,124,0.177083333,0.8125,37,Corto,[],1,[],1,"['#quizforkids', '#funquiz', '#insideout2']",3,[],1,"(66, 58, 58)",66,58,58,Cálido,Negro,05:30:09,1/1/1900 5:30:09 AM,Madrugada,11/7/2024,7,Q3,10/7/2024,0,Bastille Day,Bastille Day,FR,False
RfK1eP5MYS4,Would you Rather... Summer Edition,34,251,9.5292,1,136,11094,Trivia y Cuestionarios Generales,"Hey, Summer Lovers! ☀️ Are you ready for the ultimate vacation showdown? Let's dive into a world of fun with our Would You Rather summer quiz!  Can you handle the heat? Let's find out! We'll give you two amazing summer options, and you have to choose just one. It's harder than it sounds!  Get ready to laugh, dream, and maybe even plan your next adventure. Whether you're a beach bum or a mountain climber, there's a question for everyone!  Ready to play? Let's go!  Share your answers with your friends and see who knows summer best!  #wouldyourather #summerquiz #vacation #travel #summervibes #fun #quiztime   Want to make your summer even more awesome? Check out these amazing notebooks to keep kids/teens/adults busy over summer! https://www.amazon.com/s?i=stripbooks&rh=p_27%3ADR+Digital+Dreams",800,0.074626866,0.865671642,444,Largo,[],1,['☀'],1,[],1,"['#wouldyourather', '#summerquiz', '#vacation', '#travel', '#summervibes', '#fun', '#quiztime']",7,"(9, 70, 138)",9,70,138,Frío,Indefinido,11:01:47,1/1/1900 11:01:47 AM,Mañana,26/7/2024,7,Q3,31/7/2024,7,Summer Olympics Opening Ceremony,Summer Olympics,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",True
