ID,Título del video,Longitud título,Vistas,Tiempo de reproducción (horas),Suscriptores,Duración Promedio (Seg),Impresiones,Categoría,Descripción,Longitud descripción,Descripción sentimiento positivo,Descripción sentimiento objetivo,Duración (segundos),Tipo de duración,Título con emojis,Cantidad de emojis en el título,Descripción con emojis,Cantidad de emojis en las descripción,Título con hashtags,Cantidad de hashtags en el título,Descripción con hashtags,Cantidad de hashtags en la descripción,Color dominante del thumbnail,R,G,B,Temperatura,Grupo de color familiar,Hora de publicación (cadena),Hora de publicación,Grupo Horario,Fecha de publicación,Mes de publicación,Cuartiles (Mes),Fecha antes del proximo video,Suscriptores (entre fechas),Celebración cercana,Celebración cercana (agrupado),Países de celebración cercana,Relación con festividad
cwCilNVm9xM,Name the Flower | Facts Quiz,28,235,6.6207,1,101,4541,Trivia y Cuestionarios Generales,"Hey Kids! Welcome to our ""Name the Flower"" Quiz!  In this video, we take a journey into the beautiful world of flowers! 🌸🌻🌷 Test your flower knowledge with 20 colorful questions, each with 5 seconds to answer. It's perfect for kids aged 7 and up or anyone who loves learning about nature and flowers!  Flowers come in all shapes, sizes, and colors, and each one has its own unique story. From gardens to wild meadows, flowers add beauty to our world and play a crucial role in our ecosystem. Get ready to discover some amazing flowers and their names!  🚀 Quiz Levels: Share with your friends which level you achieved!  🌱 Budding Botanist (0-3 correct answers) 🌼 Flower Fan (4-7 correct answers) 🌺 Petal Pro (8-11 correct answers) 🌸 Flower Master (12-15 correct answers)  Don't forget to subscribe and hit the bell icon to join our community and never miss an adventure! 🚀  #quizgames, #flowerquiz, #quizforkids, #flowersname,  #kidslearningvideos, #naturefun, #kidsandnature",974,0.083841463,0.879573171,303,Largo,[],1,"['🌸', '🌻', '🌷', '🚀', '🌱', '🌼', '🌺', '🌸', '🚀']",9,[],1,"['#quizgames', '#flowerquiz', '#quizforkids', '#flowersname', '#kidslearningvideos', '#naturefun', '#kidsandnature']",7,"(17, 86, 157)",17,86,157,Frío,Azul,23:00:18,1/1/1900 11:00:18 PM,Noche,3/7/2024,7,Q3,5/7/2024,6,Euro Cup Semifinals,Euro Cup,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",False
OnMe42DH1Hg,Water Cycle Quiz | Facts Quiz,29,212,6.2374,2,105,2707,Trivia y Cuestionarios Generales,Hey Explorers! Dive into the Amazing Water Cycle!  Are you ready to test your knowledge about the incredible journey of water on Earth? Buckle up and get ready for our water cycle quiz!  Let's see how much you know!  We'll have fun questions with answers you can shout out loud. Each question will have a cool animation or picture to help you guess!  This quiz is perfect for curious kids aged 7 and up who love learning about science and our amazing planet!  ** Quiz Levels:** Share your score with your friends!   💧  Raindrop Rookie (0-3 correct answers) ️ ☁️ Cloud Climber (4-7 correct answers)  🏄‍♂️ River Runner (8-11 correct answers)  💦 Hydro Hero (12-15 correct answers)  Don't forget to subscribe and hit the bell icon to join our science adventurer crew for more exciting discoveries!  #watercycle #sciencequiz #quizforkids #earthscience #kidslearningvideos #sciencefunfacts,883,0.076666667,0.866666667,266,Largo,[],1,"['💧', '☁', '🏄', '♂', '💦']",5,[],1,"['#watercycle', '#sciencequiz', '#quizforkids', '#earthscience', '#kidslearningvideos', '#sciencefunfacts']",6,"(238, 232, 199)",238,232,199,Cálido,Blanco,06:30:07,1/1/1900 6:30:07 AM,Mañana,11/7/2024,7,Q3,17/7/2024,10,Bastille Day,Bastille Day,FR,False
N8slYIa5RvM,Planets and Space Quiz | Facts Quiz,35,163,4.045,3,89,6190,Ciencia y Espacio,"🪐Hey Space Racers! Blast Off on a Planetary Quiz Adventure! 🪐  Are you ready to explore the amazing world of planets? Buckle up and get ready to test your knowledge with our beautiful planetary quiz!  Let's see if you're a space superstar!  We'll have exciting questions with answers you can shout out loud. Each question will have cool pictures or animations of planets to help you guess!  This quiz is perfect for curious space explorers aged 7 and up who love learning about our solar system!  ** Quiz Levels:**  Show off your score to your friends!  ✨ Planetary Padawan (0-3 correct answers) 🏄🏼 Solar Surfer (4-7 correct answers) 🪐 Cosmic Cadet (8-11 correct answers) 🌌Galactic Genius (12-15 correct answers)  Don't forget to subscribe and hit the bell icon to join our space crew for more cosmic adventures!  #planetquiz #sciencequiz #quizforkids #solarsystem #kidslearningvideos #spacefun  🪐🪐 **IF YOU LOVE SPACE, CHECKOUT THESE MONTESSORI NOTEBOOKS BY VISITING OUR SPONSOR, DR Digital Dreams on AMAZON:**  https://www.amazon.com/s?i=stripbooks&rh=p_27%3ADR+Digital+Dreams",1078,0.080882353,0.880882353,261,Promedio,[],1,"['🪐', '🪐', '✨', '🏄', '🏼', '🪐', '🌌', '🪐', '🪐']",9,[],1,"['#planetquiz', '#sciencequiz', '#quizforkids', '#solarsystem', '#kidslearningvideos', '#spacefun']",6,"(197, 157, 163)",197,157,163,Cálido,Blanco,19:53:47,1/1/1900 7:53:47 PM,Noche,18/7/2024,7,Q3,17/7/2024,0,Bastille Day,Bastille Day,FR,False
SNreqswmZMc,Test Your Bird Knowledge With This Calming Quiz!,48,161,2.6999,1,60,4549,Trivia y Cuestionarios Generales,"Are you a birdwatcher or just love animals? 🦉 This quiz is for you! Challenge yourself to identify different bird species from their animated features. Don't forget to like, subscribe, and hit that notification bell for more quizzes and bird-related content!  Join us as we showcase a variety of adorable bird species, each accompanied by their unique calls. Can you guess which bird is singing? Whether you're a birdwatching enthusiast or simply love nature, this quiz is tailored for you.   🎶 Experience the soothing sounds of nature as you engage with our interactive quiz.  🌼 Perfect for relaxation, study breaks, or a peaceful moment at home.  🦜 Learn fascinating facts about each bird and enhance your knowledge of avian life.   Would you like to add anything specific about today's quiz, such as the types of birds featured or any special rules? Don't forget to leave your answers in the comments below and share your score with friends! Enjoy this calming journey through the world of birds and let the gentle sounds soothe your mind.   #BirdQuiz #NatureSounds #BirdWatching #CalmingNature #CuteBirds #Relaxation #BirdIdentification #NatureLovers  #QuizTime #factsquiz #birds #eduactionquiz   Check out these nature related notebooks from our sponsor DRDigitalDreams. Montessori lined notebooks for kids:  https://www.amazon.com/s?i=stripbooks&rh=p_27%3ADR+Digital+Dreams&s=relevancerank&language=es&text=DR+Digital+Dreams&ref=dp_byline_sr_book_1",1454,0.114898990,0.854797980,306,Largo,[],1,"['🦉', '🎶', '🌼', '🦜']",4,[],1,"['#BirdQuiz', '#NatureSounds', '#BirdWatching', '#CalmingNature', '#CuteBirds', '#Relaxation', '#BirdIdentification', '#NatureLovers', '#QuizTime', '#factsquiz', '#birds', '#eduactionquiz']",12,"(67, 105, 198)",67,105,198,Frío,Indefinido,09:30:52,1/1/1900 9:30:52 AM,Mañana,20/9/2024,9,Q3,20/9/2024,3,National Day,National Day,MX,False
pYJs4-WVFnU,Flags Quiz for Kids | Facts Quiz,32,153,2.5069,2,58,2043,Festividades y Eventos,"Hey Kids! In this video, we're exploring the amazing world of flags! 🌎🏳️‍🌈🚩 Our quiz has 15 exciting questions, with 5 seconds to answer each one. It's great for kids aged 7 and up or anyone who loves learning about flags!  🚀 Quiz Tiers: Tell your friends which tier you reached!  🎈 Flag Explorer (0-3 correct answers) 🎨 Banner Beginner (4-7 correct answers) 🌟 Vexillology Virtuoso (8-11 correct answers) 🏆 Flag Master (12-15 correct answers)  Don't forget to subscribe and hit the bell icon to join our community and never miss out on the fun!   #flags #flagsquizeasy #flagsquizchallenge #quizforkids #learnwithfun",615,0.075,0.895,208,Promedio,[],1,"['🌎', '🏳', '🌈', '🚩', '🚀', '🎈', '🎨', '🌟', '🏆']",9,[],1,"['#flags', '#flagsquizeasy', '#flagsquizchallenge', '#quizforkids', '#learnwithfun']",5,"(190, 218, 223)",190,218,223,Frío,Blanco,23:00:32,1/1/1900 11:00:32 PM,Noche,5/6/2024,6,Q2,10/6/2024,2,Flag Day,Flag Day,US,True
CIWCru78WiY,Animal Quiz for Kids | Facts Quiz,33,145,2.3205,8,57,777,Trivia y Cuestionarios Generales,"Hey kids!  Welcome to our Animal Facts Quiz!  In this video, we dive into fascinating animal facts! 🐄🐷🐔 Our quiz features 15 questions, with 5 seconds to answer each. It's perfect for kids aged 7 and up or anyone at a reading level.  🚀 Quiz Levels: Share with your friends which level you achieved!  🌱 Inquisitive Insect (0-5 correct answers) 🦊 Clever Cub (6-10 correct answers) 🦁 Brilliant Beast (11-14 correct answers) 🐉 Animal Master (15 correct answers)  Subscribe and hit the bell icon to join our community and never miss an adventure! 🚀  #quizgames   #animalquiz  #quizforkids #animalfacts #kidslearningvideos #funanimalfacts",632,0.095588235,0.833333333,219,Promedio,[],1,"['🐄', '🐷', '🐔', '🚀', '🌱', '🦊', '🦁', '🐉', '🚀']",9,[],1,"['#quizgames', '#animalquiz', '#quizforkids', '#animalfacts', '#kidslearningvideos', '#funanimalfacts']",6,"(216, 191, 122)",216,191,122,Cálido,Blanco,10:46:04,1/1/1900 10:46:04 AM,Mañana,22/5/2024,5,Q2,4/6/2024,9,Mother's Day,Mother's Day,"US,GB,CA,AU,IN,KR,PH",False
ZD3y4s0dIvo,Quiz Olympics 2 | Facts Quiz,28,134,1.9721,4,52,1733,Deportes y Juegos,"Hello Friends! Ready for another Olympic adventure?   Welcome to our Olympics Quiz - part 2! In this video, we continue exploring the thrilling world of the Olympic Games! Test your knowledge with 15 exciting questions, each with 5 seconds to answer. It's perfect for kids aged 7 and up or anyone interested in learning about the Olympics!🏅🏊‍♂️🤸‍♀️  The Olympic Games are a global sporting event that brings together athletes from all over the world to compete in various sports. Held every four years, the Olympics celebrate excellence, friendship, and respect. From ancient Greece to the modern era, the Olympic Games have a rich history and are a symbol of unity and athletic achievement.    🚀Quiz Levels: Share with your friends which level you achieved!   🎽 Olympic Aspirant (0-3 correct answers)  🥉 Bronze Medalist (4-7 correct answers)  🥈 Silver Medalist (8-11 correct answers)  🥇 Olympic Champion (12-15 correct answers)   Don't forget to subscribe and hit the bell icon to join our community and never miss an adventure! 🚀 #quizgames #olympicsquiz #quizforkids #olympicgames #kidslearningvideos #funfacts",1113,0.064560440,0.894230769,199,Promedio,[],1,"['🏅', '🏊', '♂', '🤸', '♀', '🚀', '🎽', '🥉', '🥈', '🥇', '🚀']",11,[],1,"['#quizgames', '#olympicsquiz', '#quizforkids', '#olympicgames', '#kidslearningvideos', '#funfacts']",6,"(53, 186, 216)",53,186,216,Frío,Indefinido,07:48:59,1/1/1900 7:48:59 AM,Mañana,1/8/2024,8,Q3,2/8/2024,3,Summer Olympics Opening Ceremony,Summer Olympics,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",True
8If3ForRc5M,African Flags Quiz | Facts Quiz,31,114,0.885,1,27,1708,Festividades y Eventos,"Hey Kids! In this video, we're exploring the amazing world of flags - Africa Edition! 🌎🏳️‍🌈🚩 Our quiz has 15 exciting questions, with 5 seconds to answer each one. It's great for kids aged 7 and up or anyone who loves learning about flags!  🚀 Quiz Tiers: Tell your friends which tier you reached!  🎈 Flag Explorer (0-3 correct answers) 🎨 Banner Beginner (4-7 correct answers) 🌟 Vexillology Virtuoso (8-11 correct answers) 🏆 Flag Master (12-15 correct answers)  Don't forget to subscribe and hit the bell icon to join our community and never miss out on the fun!   #flags #flagsquizeasy #flagsquizchallenge #quizforkids #learnwithfun #africanflags",646,0.072115385,0.899038462,206,Promedio,[],1,"['🌎', '🏳', '🌈', '🚩', '🚀', '🎈', '🎨', '🌟', '🏆']",9,[],1,"['#flags', '#flagsquizeasy', '#flagsquizchallenge', '#quizforkids', '#learnwithfun', '#africanflags']",6,"(35, 84, 109)",35,84,109,Frío,Indefinido,12:21:18,1/1/1900 12:21:18 PM,Tarde,11/6/2024,6,Q2,20/6/2024,0,Flag Day,Flag Day,US,True
awfFDzfLjiU,Capitals of the World Quiz | Facts Quiz,39,101,1.1407,0,40,986,Trivia y Cuestionarios Generales,"Hey kids!  Welcome to our Capitals of the World Quiz!  In this video, we dive into facts about countries, capital cities and landmarks! Our quiz features 15 questions, with 5 seconds to answer each. It's perfect for kids who can read the questions and answers out.  🚀 Quiz Levels: Share with your friends which level you achieved!  🌇 Capitals (0-5 correct answers) 🚩 Countries (6-11 correct answers) 🗼 Landmarks (11-15 correct answers)  Subscribe and hit the bell icon to join our community and never miss an adventure! 🚀  #quizgames   #capitalsquiz  #quizforkids #countryfacts #kidslearningvideos #funcapitalsfacts",615,0.043478261,0.915760870,217,Promedio,[],1,"['🚀', '🌇', '🚩', '🗼', '🚀']",5,[],1,"['#quizgames', '#capitalsquiz', '#quizforkids', '#countryfacts', '#kidslearningvideos', '#funcapitalsfacts']",6,"(20, 15, 61)",20,15,61,Cálido,Negro,10:42:31,1/1/1900 10:42:31 AM,Mañana,22/5/2024,5,Q2,21/5/2024,0,Mother's Day,Mother's Day,"US,GB,CA,AU,IN,KR,PH",False
KQCPikSx6dc,Women in History | Facts Quiz,29,100,1.5388,1,55,2422,Trivia y Cuestionarios Generales,"Hey Kids! Ready to learn about women in history? Welcome to our Quiz!  In this video, we explore Women in History - in different fields!  Test your knowledge with 15 exciting questions, each with 5 seconds to answer. It's perfect for kids aged 7 and up or anyone interested in learning about the Women's achievements throughout history!  🚀 Quiz Levels: Share with your friends which level you achieved!  🎽 Aspirant (0-3 correct answers) 🥉 Bronze Medalist (4-7 correct answers) 🥈 Silver Medalist (8-11 correct answers) 🥇 Champion (12-15 correct answers)  Don't forget to subscribe and hit the bell icon to join our community and never miss an adventure! 🚀  #quizgames #womeninhistory #achievegreatness #achievements  #quizforkids #theQuizChallengeforKids #kidslearningvideos #funfacts",783,0.058189655,0.905172414,196,Promedio,[],1,"['🚀', '🎽', '🥉', '🥈', '🥇', '🚀']",6,[],1,"['#quizgames', '#womeninhistory', '#achievegreatness', '#achievements', '#quizforkids', '#theQuizChallengeforKids', '#kidslearningvideos', '#funfacts']",8,"(237, 160, 150)",237,160,150,Cálido,Blanco,14:58:27,1/1/1900 2:58:27 PM,Tarde,27/6/2024,6,Q2,1/7/2024,4,Euro Cup Semifinals,Euro Cup,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",False
Bw-ynQMMN7g,Can You Name These Iconic HORROR MOVIES?,40,88,2.5537,0,104,3450,"Películas, Series y Fantasía","🎃 Welcome to the ultimate Guess the Scary Movie Challenge! 🎥 Are you a horror movie buff or just a casual fan? Put your knowledge to the test as we delve into some of the most iconic, spine-chilling films ever made! From classics to modern thrillers, can you name them all?   In this video, we’ll present you with suspenseful clips,that will jog your memory and get your heart racing. Don't forget to grab a pen and paper to keep track of your score!   Join us for a frightful fun time and see how many you can guess correctly! Whether you're watching alone or with friends, this challenge is perfect for any horror enthusiast.   🕷️ Don't forget to like, comment, and subscribe for more chilling content! Hit the notification bell so you never miss a scary moment!   🔔 Get ready to scream, laugh, and maybe even jump out of your seat! Can you conquer the Guess the Scary Movie Challenge? Let's find out!   #ScaryMovies #HorrorChallenge #GuessTheMovie #MovieTrivia #HalloweenFun #halloween #halloween2024, #moviechallange",1020,0.079819277,0.831325301,443,Largo,[],1,"['🎃', '🎥', '🕷', '🔔']",4,[],1,"['#ScaryMovies', '#HorrorChallenge', '#GuessTheMovie', '#MovieTrivia', '#HalloweenFun', '#halloween', '#halloween2024', '#moviechallange']",8,"(219, 202, 181)",219,202,181,Cálido,Blanco,15:55:53,1/1/1900 3:55:53 PM,Tarde,3/10/2024,10,Q4,26/10/2024,17,National Day,National Day,"CN,SG,HK",False
0-pH13n590k,Would You Rather | Taylor Swift #swifties #wouldyourather,57,83,0.3761,0,16,540,Música y Artistas,"🤔 Controversial Taylor Swift Would You Rather! 🎤  Swifties, it’s time to make some tough choices! 😬 In this video, we’re diving into some controversial ""Would You Rather"" questions all about Taylor Swift. Can you handle the pressure? 👀 Let us know your answers in the comments!  #TaylorSwift #WouldYouRather #Swifties  Music by: Prod. Matthew May  @matthewmaymusic",364,0.144230769,0.793269231,52,Promedio,[],1,"['🤔', '🎤', '😬', '👀']",4,"['#swifties', '#wouldyourather']",2,"['#TaylorSwift', '#WouldYouRather', '#Swifties']",3,"(33, 21, 23)",33,21,23,Cálido,Negro,17:48:49,1/1/1900 5:48:49 PM,Tarde,11/8/2024,8,Q3,14/8/2024,1,Summer Olympics Closing Ceremony,Summer Olympics,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",False
2eNWSMedga0,Design Your DREAM HALLOWEEN House Room by Room?,47,72,1.453,0,72,1184,Festividades y Eventos,"Hello! Spooky Room, Spooky Choice: Your Halloween House Horror  Get ready for a spooktacular Halloween decorating experience! In this video, we're taking you on a room-by-room tour of the ultimate dream Halloween house. From eerie entranceways to haunted hallways, we'll show you how to create a haunted abode that's sure to impress your friends and family. Whether you're a fan of classic horror movies or modern monster mash-ups, we've got you covered with our expert decorating tips and tricks. So, grab some candy corn and get ready to design your dream Halloween house, room by room!  Are you ready to design your ultimate Halloween horror house, room by room?  In this spine-chilling quiz, you'll make tough choices that will determine the atmosphere of your eerie abode. From the ghastly graveyard entrance to the bloodcurdling basement, every decision counts.  What to Expect:  Haunting Choices: Face difficult dilemmas that will shape your horror house. Creepy Consequences: Discover the chilling implications of your decisions. Spooky Surprises: Uncover hidden twists and turns that will leave you terrified. Let's get spooky! Hit that play button and embark on a terrifying journey through your own Halloween horror house.  #SpookyChoices, #HorrorHouse, #HalloweenFun, #halloween quiz, #quiz, #would you rather #build your dream house, #Halloween Decor, #would you rather, #would you rather halloween questions, #daily quiz, #would you rather hardest choices ever, #quiz game, #would you rather brain break, #Scary Choices, #pick one kick one, Halloween, #Halloween Games, #Haunted House, #Trick or Treat, #Halloween Ideas, #Halloween 2023, #Party Games",1664,0.052547771,0.862261146,246,Promedio,[],1,[],1,[],1,"['#SpookyChoices', '#HorrorHouse', '#HalloweenFun', '#halloween', '#quiz', '#would', '#build', '#Halloween', '#would', '#would', '#daily', '#would', '#quiz', '#would', '#Scary', '#pick', '#Halloween', '#Haunted', '#Trick', '#Halloween', '#Halloween', '#Party']",22,"(59, 38, 85)",59,38,85,Cálido,Negro,13:12:49,1/1/1900 1:12:49 PM,Tarde,27/10/2024,10,Q4,30/10/2024,-1,Halloween,Halloween,"US,GB,AU,CA,MX,PH",True
NsTkNf5WT_8,MLB All-Star Game,17,63,0.3429,0,19,673,Deportes y Juegos,The MLB All-Star Game is around the corner. How much do you know about it? #quiz #mlb #mlballstargame  #shoheiohtani  #bryceharper #aaronjudge   #baseball #allstargame,167,0.107142857,0.875,38,Corto,[],1,[],1,[],1,"['#quiz', '#mlb', '#mlballstargame', '#shoheiohtani', '#bryceharper', '#aaronjudge', '#baseball', '#allstargame']",8,"(62, 51, 23)",62,51,23,Cálido,Negro,21:00:39,1/1/1900 9:00:39 PM,Noche,10/7/2024,7,Q3,10/7/2024,1,Euro Cup Final,Euro Cup,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",False
7rijZHQNbq0,Olympics Quiz | Short Quiz,26,54,0.3029,1,20,366,Deportes y Juegos,#quiz #quizgame #olympicsquiz #quizforkids #olympicgames #kidslearningvideos #funfacts #shortquiz,97,0,1,31,Corto,[],1,[],1,[],1,"['#quiz', '#quizgame', '#olympicsquiz', '#quizforkids', '#olympicgames', '#kidslearningvideos', '#funfacts', '#shortquiz']",8,"(24, 60, 61)",24,60,61,Frío,Negro,19:14:17,1/1/1900 7:14:17 PM,Noche,2/7/2024,7,Q3,2/7/2024,1,Euro Cup Semifinals,Euro Cup,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",False
vA-UdP3913k,Friday Pop Quiz,15,43,0.2489,0,20,441,Trivia y Cuestionarios Generales,Press to pause and get extra time. Can you get all answers? Share your thoughts with us!!!,90,0.025,0.975,55,Promedio,[],1,[],1,[],1,[],1,"(15, 16, 40)",15,16,40,Frío,Negro,15:23:33,1/1/1900 3:23:33 PM,Tarde,16/8/2024,8,Q3,21/8/2024,2,Independence Day,Independence Day,IN,False
_ESSB71MDag,Planets Quiz,12,38,0.1908,0,18,473,Ciencia y Espacio,Preview of our planets quiz,27,0,1,25,Corto,[],1,[],1,[],1,[],1,"(14, 12, 34)",14,12,34,Cálido,Negro,20:34:29,1/1/1900 8:34:29 PM,Noche,18/7/2024,7,Q3,20/7/2024,1,Bastille Day,Bastille Day,FR,False
